r_left,r_right,"lower_bound_E0(r,g(r))","upper_bound_E0(r,g(r))"
0.50414,0.50801390625,0.16621563145587714,1.588062193697585
0.50801390625,0.5118878125,0.39115869091742184,1.790253888810657
0.5118878125,0.519635625,0.0014607313232914976,2.7374078754917264
0.519635625,0.5273834375,0.3576388904123746,3.0191111406078477
0.5273834375,0.5351312500000001,0.6503185770255087,3.245524279409505
0.5351312500000001,0.5428790625000001,0.8887206119650202,3.4242795706763154
0.5428790625000001,0.5506268750000001,1.0803099909841265,3.5616675565870572
0.5506268750000001,0.5661225000000001,0.07824583103712612,4.895597976974408
0.5661225000000001,0.5816181250000001,0.2920203857642001,4.939173478986898
0.5816181250000001,0.5971137500000001,0.3967279824655492,4.895509716305714
0.5971137500000001,0.6126093750000001,0.41677654420537635,4.7842684890144405
0.6126093750000001,0.628105,0.3711735317429081,4.6211639661909025
0.628105,0.6436006249999999,0.27517001671802177,4.419076865430892
0.6436006249999999,0.6590962499999999,0.14132177795391598,4.188805287764733
0.6590962499999999,0.6668440625,1.0222748384423248,3.0125489463484527
0.6668440625,0.674591875,0.9257802522406315,2.8949812732008873
0.674591875,0.6823396875,0.8257338688486868,2.7747430299980564
0.6823396875,0.6900875,0.7231024708363449,2.6527503076170547
0.6900875,0.6978353125,0.6187992413498797,2.5298709993888373
0.6978353125,0.705583125,0.5136904835309295,2.4069308196191415
0.705583125,0.7133309375,0.408601504327482,2.284718598365192
0.7133309375,0.72107875,0.3043217926922601,2.1639909619834334
0.72107875,0.7288265625,0.2016095990220954,2.0454764900445745
0.7288265625,0.736574375,0.10119600423211494,1.9298794240167965
0.736574375,0.7443221875,0.0037885520332565648,1.817882990833148
0.7443221875,0.7481960937500001,0.3847492042114098,1.286509607854672
0.7481960937500001,0.75207,0.3371998882718614,1.235526093238267
0.75207,0.75594390625,0.29081732780557346,1.1857777776933958
0.75594390625,0.7598178125,0.24568281711968964,1.1373448191246993
0.7598178125,0.7636917187500001,0.2018768755694147,1.0903066534457224
0.7636917187500001,0.767565625,0.15947931808179305,1.0447420626000223
0.767565625,0.77143953125,0.1185693226065041,1.0007292396750493
0.77143953125,0.7753134375,0.0792254946994504,0.958345851302834
0.7753134375,0.7791873437500001,0.04152592943070843,0.9176690975278454
0.7791873437500001,0.78306125,0.005548270795344479,0.878775769310014
0.78306125,0.784998203125,0.1976654828451494,0.6332054157544
0.784998203125,0.78693515625,0.1806845641979713,0.6155182848712393
0.78693515625,0.788872109375,0.1641812034034409,0.5983161795161216
0.788872109375,0.7908090625,0.14816495469568736,0.5816086078510061
0.7908090625,0.7927460156250001,0.13264535740077577,0.5654050642501893
0.7927460156250001,0.7946829687500001,0.11763193748965861,0.5497150308310701
0.7946829687500001,0.7966199218750001,0.10313420910421911,0.5345479789589369
0.7966199218750001,0.798556875,0.08916167605754666,0.519913370726325
0.798556875,0.800493828125,0.07572383330908394,0.50582066040824
0.800493828125,0.80243078125,0.06283016841569378,0.49227929589378405
0.80243078125,0.804367734375,0.05049016295930997,0.4792987200950414
0.804367734375,0.8063046875000001,0.03871329395214573,0.4668883723341395
0.8063046875000001,0.8082416406250001,0.02750903522015946,0.45505768970901883
0.8082416406250001,0.8101785937500001,0.01688685876542806,0.443816108438881
0.8101785937500001,0.8121155468750001,0.006856236108315983,0.43317306518993703
0.8121155468750001,0.8130840234375001,0.10622548254128716,0.3191564868160839
0.8130840234375001,0.8140525000000001,0.10158713271686892,0.31436763578808424
0.8140525000000001,0.8150209765625,0.09710243240901661,0.30973329790840864
0.8150209765625,0.815989453125,0.09277256533544431,0.30525465488475234
0.815989453125,0.8169579296875,0.08859871550161103,0.3009328887398013
0.8169579296875,0.81792640625,0.08458206723997463,0.29676918185026224
0.81792640625,0.8188948828125,0.08072380524897937,0.29276471698555184
0.8188948828125,0.819863359375,0.07702511463175554,0.28892067734644655
0.819863359375,0.8208318359375,0.07348718093464512,0.2852382466032388
0.8208318359375,0.8218003125000001,0.07011119018540768,0.2817186089338257
0.8218003125000001,0.8227687890625002,0.06689832893123437,0.2783629490614423
0.8227687890625002,0.8237372656250002,0.06384978427648846,0.2751724522922956
0.8237372656250002,0.8247057421875001,0.06096674392020773,0.27214830455282524
0.8247057421875001,0.8256742187500001,0.05825039619344352,0.2692916924268509
0.8256742187500001,0.8266426953125001,0.05570193009634039,0.26660380319242805
0.8266426953125001,0.8276111718750001,0.0533225353349458,0.26408582485851184
0.8276111718750001,0.8285796484375001,0.051113402357888305,0.26173894620146143
0.8285796484375001,0.8295481250000001,0.0490757223927929,0.25956435680121004
0.8295481250000001,0.8305166015625001,0.047210687482518665,0.2575632470773854
0.8305166015625001,0.831485078125,0.045519490521133577,0.25573680832512125
0.831485078125,0.8324535546875,0.0440033252898111,0.2540862327507156
0.8324535546875,0.83342203125,0.04266338649241064,0.25261271350706593
0.83342203125,0.8343905078125,0.04150086979090872,0.251317444728997
0.8343905078125,0.835358984375,0.0405169718406988,0.2502016215682872
0.835358984375,0.8363274609375,0.039712890325589,0.24926644022860955
0.8363274609375,0.8372959375000001,0.03908982399274663,0.2485130980002772
0.8372959375000001,0.8382644140625002,0.03864897268743306,0.24794279329474023
0.8382644140625002,0.8392328906250002,0.03839153738746148,0.24755672567907538
0.8392328906250002,0.8402013671875002,0.03831872023765115,0.2473560959101384
0.8402013671875002,0.8411698437500001,0.03843172458398314,0.24734210596863093
0.8411698437500001,0.8421383203125001,0.038731755007706425,0.2475159590930467
0.8421383203125001,0.8431067968750001,0.03922001735918812,0.2478788598133832
0.8431067968750001,0.8440752734375001,0.03989771879166426,0.24843201398475756
0.8440752734375001,0.8450437500000001,0.04076606779481473,0.24917662882087832
0.8450437500000001,0.8460122265625001,0.04182627422824936,0.2501139129272989
