r_left,r_right,b_left,b_right,u_left,u_right,lower_bound_F,upper_bound_F
0.5118878125,0.519635625,0.95166691170273988623046875,0.975833455851369943115234375,0,0.03125,"[-2.2377221029059071178, -2.2377221029059071178]","[-0.42629633327927990427, -0.42629633327927990427]"
0.5118878125,0.519635625,0.975833455851369943115234375,1,0,0.03125,"[-2.029263270695279342, -2.029263270695279342]","[-0.17518577797742682089, -0.17518577797742682089]"
0.5118878125,0.519635625,0.95166691170273988623046875,0.975833455851369943115234375,0.03125,0.0625,"[-2.255669477891105057, -2.255669477891105057]","[-0.45132484022668023504, -0.45132484022668023504]"
0.5118878125,0.519635625,0.975833455851369943115234375,1,0.03125,0.0625,"[-2.0386174849521316865, -2.0386174849521316865]","[-0.19399879386966875638, -0.19399879386966875638]"
0.5118878125,0.519635625,0.95166691170273988623046875,0.975833455851369943115234375,0.0625,0.09375,"[-2.2881162921177717884, -2.2881162921177717884]","[-0.48717657059973390465, -0.48717657059973390465]"
0.5118878125,0.519635625,0.975833455851369943115234375,1,0.0625,0.09375,"[-2.0643259264293951638, -2.0643259264293951638]","[-0.22468363297385127164, -0.22468363297385127164]"
0.5118878125,0.519635625,0.95166691170273988623046875,0.975833455851369943115234375,0.09375,0.125,"[-2.3318141551931126365, -2.3318141551931126365]","[-0.53189556681159311236, -0.53189556681159311236]"
0.5118878125,0.519635625,0.975833455851369943115234375,1,0.09375,0.125,"[-2.1025145016934820852, -2.1025145016934820852]","[-0.26500112517735047168, -0.26500112517735047168]"
0.5118878125,0.519635625,0.95166691170273988623046875,0.975833455851369943115234375,0.125,0.15625,"[-2.3846014858759949639, -2.3846014858759949639]","[-0.58407206662400079633, -0.58407206662400079633]"
0.5118878125,0.519635625,0.975833455851369943115234375,1,0.125,0.15625,"[-2.1506667417635489947, -2.1506667417635489947]","[-0.31336030701615896765, -0.31336030701615896765]"
0.5118878125,0.519635625,0.95166691170273988623046875,0.975833455851369943115234375,0.15625,0.1875,"[-2.444952686357220184, -2.444952686357220184]","[-0.64264963605192926277, -0.64264963605192926277]"
0.5118878125,0.519635625,0.975833455851369943115234375,1,0.15625,0.1875,"[-2.2070372047570052665, -2.2070372047570052665]","[-0.36858201306728360924, -0.36858201306728360924]"
0.5118878125,0.519635625,0.95166691170273988623046875,0.975833455851369943115234375,0.1875,0.21875,"[-2.5117427918379759966, -2.5117427918379759966]","[-0.7068120273330625869, -0.7068120273330625869]"
